stop_id,stop_code,stop_lat,stop_lon,stop_name,stop_url,stop_desc
BAILL_02,39B,48.6065942624,7.7800409496,Baillis,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALEE_01,40A,48.5371690667,7.7098971605,Bâle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALEE_02,40B,48.5365412532,7.7098810673,Bâle,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALLA_01,41A,48.5067773388,7.7171672881,Ballastière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BALLA_02,41B,48.5069061746,7.7172316611,Ballastière,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BANLI_01,42A,48.6009851147,7.6978513598,Banlieue,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BANLI_02,42B,48.600787342,7.698122263,Banlieue,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARRR_01,43A,48.6018657699,7.7452325821,Barr,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARRR_02,43B,48.601729194,7.7451869845,Barr,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARTI_01,44A,48.5546967488,7.7395543456,Bartischgut,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BARTI_02,44B,48.5547837417,7.7395865321,Bartischgut,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BELZW_01,46A,48.6192912487,7.7930107713,Belzwoerth,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BELZW_02,46B,48.6192877025,7.7923294902,Belzwoerth,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERGE_01,47A,48.5543754063,7.7625086904,Bergerac,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERGE_02,47B,48.5543043912,7.763004899,Bergerac,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_05,48D,48.637599,7.711821,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERLI_06,48E,48.63762,7.71194,Berlioz,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERST_01,49A,48.6001957933,7.7117934823,Berstett,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BERST_02,49B,48.6001425802,7.7117022872,Berstett,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BESIL_01,810A,48.663636,7.763161,Benjamin Silliman Junior,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BESIL_02,810B,48.663603,7.762996,Benjamin Silliman Junior,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
BETHL_01,50A,48.6114242814,7.6865807176,Bethel,http://www.cts-strasbourg.eu/fr/se-deplacer/fiches-horaires/recherche-des-fiches-horaires/#,
