service_id,date,exception_type
21SEPW-A-D-Dimanche-85,20220418,1
21SEPW-A-D-Dimanche-85,20220526,1
22JANB-UPEBus-Semaine-96,20220415,2
22JANB-UPEBus-Semaine-96,20220418,2
22JANB-UPEBus-Semaine-96,20220526,2
22JANB-UPEBus-Dimanche-00,20220501,2
22JANB-UPEBus-Dimanche-00,20220415,1
22JANB-UPEBus-Dimanche-00,20220418,1
22JANB-UPEBus-Dimanche-00,20220526,1
21SEPW-B-F-Semaine-87,20220411,2
21SEPW-B-F-Semaine-87,20220412,2
21SEPW-B-F-Semaine-87,20220413,2
21SEPW-B-F-Semaine-87,20220414,2
21SEPW-B-F-Semaine-87,20220415,2
21SEPW-B-F-Semaine-87,20220418,2
21SEPW-B-F-Semaine-87,20220419,2
21SEPW-B-F-Semaine-87,20220420,2
21SEPW-B-F-Semaine-87,20220421,2
21SEPW-B-F-Semaine-87,20220422,2
21SEPW-B-F-Semaine-87,20220526,2
21SEPW-B-F-Samedi-85,20220416,2
21SEPW-B-F-Dimanche-85,20220417,2
21SEPW-B-F-Dimanche-85,20220501,2
21SEPW-B-F-Dimanche-85,20220526,1
21SEPW-B-F-Semaine-20,20220415,2
21SEPW-B-F-Semaine-20,20220418,2
21SEPW-B-F-Dimanche-20,20220415,1
21SEPW-B-F-Dimanche-20,20220418,1
22JANB-UPKBus-Semaine-96,20220308,2
22JANB-UPKBus-Semaine-96,20220315,2
22JANB-UPKBus-Semaine-96,20220322,2
22JANB-UPKBus-Semaine-96,20220329,2
22JANB-UPKBus-Semaine-96,20220405,2
22JANB-UPKBus-Semaine-96,20220412,2
22JANB-UPKBus-Semaine-96,20220415,2
22JANB-UPKBus-Semaine-96,20220418,2
22JANB-UPKBus-Semaine-96,20220419,2
22JANB-UPKBus-Semaine-96,20220426,2
22JANB-UPKBus-Semaine-96,20220503,2
22JANB-UPKBus-Semaine-96,20220510,2
22JANB-UPKBus-Semaine-96,20220517,2
22JANB-UPKBus-Semaine-96,20220524,2
22JANB-UPKBus-Semaine-96,20220526,2
22JANB-UPKBus-Semaine-96,20220531,2
22JANB-UPKBus-Dimanche-00,20220501,2
22JANB-UPKBus-Dimanche-00,20220415,1
22JANB-UPKBus-Dimanche-00,20220418,1
22JANB-UPKBus-Dimanche-00,20220526,1
21SEPW-C-E-Semaine-87,20220415,2
21SEPW-C-E-Semaine-87,20220418,2
21SEPW-C-E-Semaine-87,20220526,2
21SEPW-C-E-Dimanche-85,20220501,2
21SEPW-C-E-Dimanche-85,20220415,1
21SEPW-C-E-Dimanche-85,20220418,1
21SEPW-C-E-Dimanche-85,20220526,1
21SEPTAFF-KEONAV-Semaine-01,20220415,2
21SEPTAFF-KEONAV-Semaine-01,20220418,2
21SEPTAFF-KEONAV-Semaine-01,20220526,2
21SEPTAFF-KEOREG-Semaine-98,20220411,2
21SEPTAFF-KEOREG-Semaine-98,20220412,2
21SEPTAFF-KEOREG-Semaine-98,20220413,2
21SEPTAFF-KEOREG-Semaine-98,20220414,2
21SEPTAFF-KEOREG-Semaine-98,20220415,2
21SEPTAFF-KEOREG-Semaine-98,20220418,2
21SEPTAFF-KEOREG-Semaine-98,20220419,2
21SEPTAFF-KEOREG-Semaine-98,20220420,2
21SEPTAFF-KEOREG-Semaine-98,20220421,2
21SEPTAFF-KEOREG-Semaine-98,20220422,2
21SEPTAFF-KEOREG-Semaine-98,20220526,2
21SEPTAFF-KEOREG-Dimanche-00,20220415,1
21SEPTAFF-KEOREG-Dimanche-00,20220418,1
21SEPTAFF-KEOREG-Dimanche-00,20220526,1
21SEPPVSAF-KEOREG-Semaine-98,20220415,2
21SEPPVSAF-KEOREG-Semaine-98,20220418,2
21SEPTAFF-60-Semaine-00,20220415,2
21SEPTAFF-60-Semaine-00,20220418,2
21SEPTAFF-60-Semaine-00,20220526,2
21SEPTAFF-71-Semaine-31,20220415,2
21SEPTAFF-71-Semaine-31,20220418,2
21SEPTAFF-71-Semaine-31,20220526,2
21SEPTAFF-73-Semaine-31,20220415,2
21SEPTAFF-73-Semaine-31,20220418,2
21SEPTAFF-73-Semaine-31,20220526,2
21SEPTAFF-74-Semaine-31,20220415,2
21SEPTAFF-74-Semaine-31,20220418,2
21SEPTAFF-74-Semaine-31,20220526,2
21SEPTAFF-74-Dimanche-31,20220501,2
21SEPTAFF-74-Dimanche-31,20220415,1
21SEPTAFF-74-Dimanche-31,20220418,1
21SEPTAFF-74-Dimanche-31,20220526,1
21SEPTAFF-75-L-Ma-J-V-31,20220411,2
21SEPTAFF-75-L-Ma-J-V-31,20220412,2
21SEPTAFF-75-L-Ma-J-V-31,20220414,2
21SEPTAFF-75-L-Ma-J-V-31,20220415,2
21SEPTAFF-75-L-Ma-J-V-31,20220418,2
21SEPTAFF-75-L-Ma-J-V-31,20220419,2
21SEPTAFF-75-L-Ma-J-V-31,20220421,2
21SEPTAFF-75-L-Ma-J-V-31,20220422,2
21SEPTAFF-75-L-Ma-J-V-31,20220526,2
21SEPTAFF-75-Dimanche-31,20220501,2
21SEPTAFF-75-Dimanche-31,20220415,1
21SEPTAFF-75-Dimanche-31,20220418,1
21SEPTAFF-75-Dimanche-31,20220526,1
21SEPTAFF-75-Mercredi-31,20220413,2
21SEPTAFF-75-Mercredi-31,20220420,2
21SEPPVSAF-75-Semaine-31,20220415,2
21SEPPVSAF-75-Semaine-31,20220418,2
21PVSB-88-Semaine-01,20220415,2
21PVSB-88-Semaine-01,20220418,2
21PVSB-88-Dimanche-00,20220415,1
21PVSB-88-Dimanche-00,20220418,1
21SEPTAFF-NAV_ROST-Semaine-00,20220415,2
21SEPTAFF-NAV_ROST-Semaine-00,20220418,2
21SEPTAFF-NAV_ROST-Semaine-00,20220526,2
21SEPTAFF-NAV_ROST-Dimanche-00,20220501,2
21SEPTAFF-NAV_ROST-Dimanche-00,20220415,1
21SEPTAFF-NAV_ROST-Dimanche-00,20220418,1
21SEPTAFF-NAV_ROST-Dimanche-00,20220526,1
21SEPTAFF-NUIT-Jeu-Ven-31,20220415,2
21SEPTAFF-NUIT-Jeu-Ven-31,20220526,2
21SEPW-C-E-Semaine-01,20220304,2
21SEPW-A-D-Semaine-02,20220304,2
21SEPW-B-F-Semaine-00,20220304,2
21SEPW-C-E-Samedi-00,20220305,2
21SEPW-A-D-Samedi-02,20220305,2
21SEPW-B-F-Samedi-00,20220305,2
21SEPW-C-E-Dimanche-00,20220306,2
21SEPW-A-D-Dimanche-02,20220306,2
21SEPW-B-F-Dimanche-00,20220306,2
